word_id,english,xhosa,part_of_speech,xhosa_tone_markings,infinitive,is_plural,is_inchoative,is_informal,transitivity,followed_by,noun_class,note
1,help,uncedo,noun,,,false,false,false,,,11,
3,see,bona,verb,,ukubona,false,false,false,ambitransitive,,,
4,orange,i-orenji,noun,,,false,false,false,,,9,"Some speakers use this noun as a Class 5/6 noun - i-orenji/ama-orenji, while others use it as a Class 9/10 noun, i-orenji/ii-orenji"
5,show,bonisa,verb,,ukubonisa,false,false,false,transitive,,,
6,oranges,ii-orenji,noun,,,true,false,false,,,10,
7,tell,xelela,verb,,ukuxelela,false,false,false,transitive,,,
8,buy,thenga,verb,,ukuthenga,false,false,false,transitive,,,
9,eat,tya,verb,,ukutya,false,false,false,ambitransitive,,,
10,baby,usana,noun,,,false,false,false,,,11,"Many speakers use ""umntwana"" (child) these days instead of ""usana""."
11,babies,iintsana,noun,,,true,false,false,,,10,
12,father,utata,noun,,,false,false,false,,,1a,"Utata can be used to describe any middle aged man or older, even if they are not your father."
13,fathers,ootata,noun,,,true,false,false,,,2a,Ootata can be used to refer to any group of middle aged men or older. Even if they are not actually fathers.
14,be similar,fana,verb,,ukufana,false,false,false,intransitive,,,
15,sing,cula,verb,,ukucula,false,false,false,ambitransitive,,,
16,start,qala,verb,,ukuqala,false,false,false,ambitransitive,,,
17,calm,thuthuzela,verb,,ukuthuthuzela,false,false,false,ambitransitive,,,
19,cars,iimoto,noun,,,true,false,false,,,10,
20,car,imoto,noun,,,false,false,false,,,9,
21,watch,bukela,verb,,ukubukela,false,true,false,transitive,,,
22,become damaged,onakala,verb,,ukonakala,false,true,false,intransitive,,,
23,father,ubawo,noun,,,false,false,false,,,1a,
24,hurry,khawuleza,verb,,ukukhawuleza,false,false,false,intransitive,,,
25,depend,xhomekeka,verb,,ukuxhomekeka,false,true,false,intransitive,,,
26,advise,yala,verb,,ukuyala,false,false,false,ambitransitive,,,
27,television,umabonakude,noun,,,false,false,false,,,1a,Note that most speakers use iTV in Class 9 (in-) for television
28,drunkard,inxila,noun,,,false,false,false,,,5,
29,succeed,phumelela,verb,,ukuphumelela,false,false,false,intransitive,,,
30,preach,shumayela,verb,,ukushumayela,false,false,false,ambitransitive,,,
31,guy,umfo,noun,,,false,false,false,,,1,
32,about,malunga,preposition,,,false,false,false,,,,"""malunga"" is always followed by ""na-"".  You can also use nga- e.g. Le yincwadi ethetha ngethemba. This is a book  that speaks about hope."
33,beloved,isithandwa,noun,,,false,false,false,,,7,
34,as if,ngathi,conjunction,,,false,false,false,,,,
35,ambition,ikhwele,noun,,,false,false,false,,,5,"""Ikhwele"" is usually used to mean a kind of envy of someone which motivates a person to work hard so that they too can achieve the same things which they envy, meaning it is more positive than the negative ""ubukhwele""."
36,envy,ubukhwele,noun,,,false,false,false,,,14,
37,ride,khwela,verb,,ukukhwela,false,true,false,ambitransitive,,,
38,field,ibala,noun,,,false,false,false,,,5,
39,story,ibali,noun,,,false,false,false,,,5,
40,stories,amabali,noun,,,true,false,false,,,6,
41,fields,amabala,noun,,,true,false,false,,,6,
42,colour,umbala,noun,,,false,false,false,,,3,
43,colours,imibala,noun,,,true,false,false,,,4,
44,count,bala,verb,,ukubala,false,false,false,ambitransitive,,,
45,write,bhala,verb,,ukubhala,false,false,false,ambitransitive,,,
46,bed,umandlalo,noun,,,false,false,false,,,3,"This is a rather archaic term for a bed, coming from the word to prepare a reed bed."
47,bed,ibhedi,noun,,,false,false,false,,,9,"Modern term for a bed from ""bed"" in English and Afrikaans"
48,exact revenge,phindeza,verb,,ukuphindeza,false,false,false,,,,
49,characterise,phawula,verb,,ukuphawula,false,false,false,,,,
50,character,isimilo,noun,,,false,false,false,,,7,"This refers to the character of a person, not a fictional or typographical character. "
51,plant,isityalo,noun,,,false,false,false,,,7,
52,garden,isitiya,noun,,,false,false,false,,,7,"""igadi"" is often used more than ""isitiya"", especially colloquially."
53,control,lawula,verb,,ukulawula,false,false,false,transitive,,,
54,bread,isonka,noun,,,false,false,false,,,7,
55,egg,iqanda,noun,,,false,false,false,,,5,
56,calm down,zola,verb,,ukuzola,false,true,false,intransitive,,,
57,detail,inkcukacha,noun,,,false,false,false,,,9,
58,sack,ingxowa,noun,,,false,false,false,,,9,
59,kick,khaba,verb,,ukukhaba,false,false,false,,,,
60,demolish,diliza,verb,,ukudiliza,false,false,false,transitive,,,
61,decorations,izihombiso,noun,,,true,false,false,,,8,
62,book,incwadi,noun,,,false,false,false,,,9,
63,play,dlala,verb,,ukudlala,false,false,false,,,,
64,learn,funda,verb,,ukufunda,false,false,false,,,,
65,a lot of,inkitha ya-,noun,,,false,false,false,,,9,
66,wish happy birthday,bhafisa,verb,,ukubhafisa,false,false,false,transitive,,,
67,try,zama,verb,,ukuzama,false,false,false,ambitransitive,,,
68,thing,into,noun,,,false,false,false,,,9,
69,things,izinto,noun,,,true,false,false,,,10,
70,like that,njalo,adverb,,,false,false,false,,,,"This word has multiple meanings, and can often be translated as, ""so"", ""like that"", ""in that way"" etc."
71,journalist,intatheli,noun,,,false,false,false,,,9,
72,hat,umnqwazi,noun,,,false,false,false,,,3,
73,tear apart,krazuka,verb,,ukukrazuka,false,false,false,ambitransitive,,,
74,improve,phucula,verb,,ukuphucula,false,false,false,transitive,,,
75,shade,umthunzi,noun,,,false,false,false,,,3,
76,battle,idabi,noun,,,false,false,false,,,5,
77,example,umzekelo,noun,,,false,false,false,,,3,
78,examples,imizekelo,noun,,,true,false,false,,,4,
79,extract,isicatshulwa,noun,,,false,false,false,,,7,
80,trophy,indebe,noun,,,false,false,false,,,9,
81,swear,thuka,verb,,ukuthuka,false,false,false,,,,
82,become shocked,othuka,verb,,ukothuka,false,true,false,intransitive,,,
83,slow down,cothisa,verb,,ukucothisa,false,false,false,ambitransitive,,,
84,especially,ngakumbi,adverb,,,false,false,false,,,,
85,become hurried,ngxama,verb,,ukungxama,false,true,false,intransitive,,,
86,love,thanda,verb,,ukuthanda,false,false,false,,,,
87,go home,goduka,verb,,ukugoduka,false,false,false,,,,
88,rinse,pula,verb,,ukupula,false,false,false,ambitransitive,,,
89,brush against,thintana na-,verb,,ukuthintana na-,false,false,false,,,,
90,short while,isiqhuphe,noun,,,false,false,false,,,7,
91,laugh,hleka,verb,,ukuhleka,false,false,false,ambitransitive,,,
92,song,ingoma,noun,,,false,false,false,,,9,
93,refuse,ala,verb,,ukwala,false,false,false,ambitransitive,,,
94,say,thi,verb,,ukuthi,false,false,false,ambitransitive,,,"""thi"" has many meanings, and it can also be used as a generic tense marker as well as the verb ""say"""
95,tree,umthi,noun,,,false,false,false,,,3,
96,trees,imithi,noun,,,true,false,false,,,4,
97,like that,njalo,relative,,,false,false,false,,,,"This word has multiple meanings, and can often be translated as, ""so"", ""such"", ""these kinds of"", etc."
98,sun,ilanga,noun,,,false,false,false,,,5,
99,fountain,umthombo,noun,,,false,false,false,,,3,
100,difficult,nzima,relative,,,false,false,false,,,,
101,hard,nzima,adverb,,,false,false,false,,,,
102,hundred,ikhulu,noun,,,false,false,false,,,5,
103,cat,ikati,noun,,,false,false,false,,,9,
104,cats,iikati,noun,,,true,false,false,,,10,
105,give,pha,verb,,ukupha,false,false,false,transitive,,,
106,arrive,fika,verb,,ukufika,false,false,false,intransitive,,,"Often used in the context of ""get to"""
107,gift,isipho,noun,,,false,false,false,,,7,
108,provoke,xhokonxa,verb,,ukuxhokonxa,false,false,false,,,,
109,gifts,izipho,noun,,,true,false,false,,,8,
110,humiliate,phoxa,verb,,ukuphoxa,false,false,false,,,,
111,drought,imbalela,noun,,,false,false,false,,,9,
112,fur,uboya,noun,,,false,false,false,,,14,
113,bump into,tshayisana na-,verb,,ukutshayisana,false,false,false,ambitransitive,,,
114,celebrate,bhiyoza,verb,,ukubhiyoza,false,false,false,ambitransitive,,,
115,abuse,xhaphaza,verb,,ukuxhaphaza,false,false,false,,,,
116,blanket,ingubo,noun,,,false,false,false,,,9,
117,prosper,hluma,verb,,ukuhluma,false,false,false,intransitive,,,
118,bring,phathela,verb,,ukuphathela,false,false,false,,,,
119,burn,tsha,verb,,ukutsha,false,false,false,intransitive,,,
120,close,vala,verb,,ukuvala,false,false,false,transitive,,,
121,drive,qhuba,verb,,ukuqhuba,false,false,false,,,,
122,price,ixabiso,noun,,,false,false,false,,,5,
123,cut,sika,verb,,ukusika,false,false,false,,,,"""sika"" is used for things that are not growing (for example, bread). ""cheba"" should instead be used for something growing, such as hair."
124,dance,danisa,verb,,ukudanisa,false,false,false,,,,
125,disappoint,danisa,verb,,ukudanisa,false,false,false,transitive,,,
